papel,cotacao,pl,pvp,psr,dy,pa,pcg,pebit,pacl,evebit,evebitda,mrgebit,mrgliq,roic,roe,liqc,liq2m,patrliq,divbpatr,c5y
ODER3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507709000.0,0.0,0.1681
ODER4,100.0,12.4,2.22,1.451,0.023399999999999997,1.234,2.26,9.72,4.55,11.25,10.02,0.1493,0.11699999999999999,0.1458,0.17920000000000003,4.22,0.0,507709000.0,0.5,0.1681
ODPV3,11.43,12.18,4.25,2.935,0.0931,2.711,-109.06,10.74,-32.74,9.82,9.04,0.2733,0.24100000000000002,0.33340000000000003,0.3492,0.92,18053300.0,1484650000.0,0.0,0.046900000000000004
OFSA3,19.75,-31.6,1.52,1.116,0.0311,0.825,1.8,8.97,4.39,9.58,7.29,0.1244,-0.0353,0.1379,-0.048,3.48,114467.0,702794000.0,0.6,0.11
OGXP3,1.63,-2.15,-0.98,0.0,0.0,0.925,0.0,-16.46,0.0,-16.46,-16.46,0.0,0.0,0.0,0.45530000000000004,0.0,0.0,-53901000.0,0.0,0.0
OIBR3,0.58,-0.06,-0.01,0.041,0.0,0.015,-0.05,-0.11,-0.01,-7.2,-12.22,-0.3815,-0.7406999999999999,-0.1907,0.2309,0.48,4609410.0,-30105000000.0,-0.91,-0.09949999999999999
OIBR4,1.66,-0.16,-0.04,0.117,0.0,0.042,-0.13,-0.31,-0.02,-7.4,-12.56,-0.3815,-0.7406999999999999,-0.1907,0.2309,0.48,119097.0,-30105000000.0,-0.91,-0.09949999999999999
OMGE3,27.57,-32.03,1.59,3.419,0.0,0.543,10.86,12.56,-1.06,24.34,13.09,0.2723,-0.1112,0.046900000000000004,-0.0495,1.72,0.0,3483570000.0,1.66,0.3873
ONCO3,7.03,17.57,1.61,0.656,0.0,0.38,5.32,5.13,-0.95,11.17,8.17,0.1278,0.0516,0.08539999999999999,0.0917,1.28,46391400.0,2300490000.0,2.08,0.39740000000000003
OPCT3,6.5,13.0,1.56,0.72,0.0,0.529,10.54,5.07,-1.48,8.82,4.53,0.1422,0.0554,0.12269999999999999,0.1201,1.2,4977120.0,832641000.0,1.43,0.4154
ORVR3,39.36,29.49,4.46,4.099,0.0,1.422,10.2,19.48,-3.55,24.67,13.38,0.2104,0.1551,0.08470000000000001,0.1514,2.2,14361900.0,731548000.0,1.55,0.3006
OSAO4,8.98,0.01,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,-34.4,6.06,-0.0086,0.0109,-0.013999999999999999,-0.024,0.47,0.0,-439298000.0,-0.72,0.2711
OSXB3,4.12,-0.01,0.0,0.25,0.0,0.005,-0.02,-0.57,0.0,-274.43,-459.35,-0.4357,-22.596999999999998,-0.0098,0.17,0.01,19674.1,-6992210000.0,-0.89,0.5307
PALF11,125.0,0.07,0.04,0.007,0.0,0.005,0.2,0.04,-0.01,2.69,2.37,0.2095,0.1025,0.17129999999999998,0.5658,1.09,0.0,2718530000.0,3.82,0.0926
PALF3,279.9,0.16,0.09,0.016,0.0,0.011,0.45,0.08,-0.02,2.74,2.41,0.2095,0.1025,0.17129999999999998,0.5658,1.09,0.0,2718530000.0,3.82,0.0926
PALF5,236.6,0.14,0.08,0.014,0.0,0.01,0.38,0.07,-0.02,2.73,2.4,0.2095,0.1025,0.17129999999999998,0.5658,1.09,0.0,2718530000.0,3.82,0.0926
PARD3,20.25,36.76,5.3,2.565,0.052199999999999996,2.095,-54.06,17.52,-8.62,18.12,11.99,0.1464,0.07,0.15259999999999999,0.1442,0.9,0.0,1019310000.0,0.53,0.1597
PATI3,26.5,26.94,0.74,0.345,0.0017000000000000001,0.397,0.88,9.83,1.41,10.56,8.74,0.035,0.0128,0.0664,0.0275,2.52,185.49,855442000.0,0.47,0.1399
PATI4,33.0,33.55,0.92,0.429,0.0639,0.495,1.1,12.25,1.76,12.97,10.73,0.035,0.0128,0.0664,0.0275,2.52,0.0,855442000.0,0.47,0.1399
PCAR3,2.88,-0.53,0.3,0.073,0.0,0.068,2.12,1.14,-0.14,2.53,1.31,0.0638,-0.1343,0.0795,-0.5758,1.12,45906900.0,4660000000.0,0.98,-0.3094
PCAR4,72.11,-13.17,7.59,1.828,0.0,1.694,53.15,28.67,-3.62,30.05,15.62,0.0638,-0.1343,0.0795,-0.5758,1.12,0.0,4660000000.0,0.98,-0.3094
PCAR5,67.12,-12.26,7.06,1.701,0.0,1.577,49.47,26.68,-3.37,28.07,14.59,0.0638,-0.1343,0.0795,-0.5758,1.12,0.0,4660000000.0,0.98,-0.3094
PDGR3,0.19,0.01,0.0,0.159,0.0,0.023,-0.02,-0.22,0.0,-2.85,-2.88,-0.721,13.493900000000002,-0.1932,-0.38189999999999996,0.42,712362.0,-3316580000.0,-0.07,-0.2189
PDTC3,1.85,757.83,1.06,0.423,0.024900000000000002,0.28,0.73,9.07,-13.15,16.13,6.34,0.0466,0.0006,0.0382,0.0014000000000000002,2.17,124130.0,139015000.0,1.07,-0.06509999999999999
PEAB3,42.5,41.15,0.92,14.635,0.0216,0.628,2.97,-391.8,-9.35,-316.35,201.94,-0.0374,0.3556,-0.002,0.0223,6.46,5107.65,873953000.0,0.13,-0.3776
PEAB4,47.66,46.15,1.03,16.412,0.022099999999999998,0.704,3.33,-439.37,-10.49,-363.92,232.31,-0.0374,0.3556,-0.002,0.0223,6.46,15249.1,873953000.0,0.13,-0.3776
PEFX3,19.0,-52.04,1.68,0.477,0.0,0.597,20.34,5.75,-3.18,6.59,0.0,0.083,-0.0092,0.1177,-0.032400000000000005,1.07,0.0,396955000.0,0.31,0.0436
PETR3,38.59,4.57,1.23,1.026,0.1888,0.472,41.64,2.25,-1.02,3.27,2.45,0.4557,0.2256,0.233,0.2702,1.08,495134000.0,407636000000.0,0.76,0.1989
PETR4,36.94,4.37,1.18,0.982,0.1972,0.451,39.86,2.16,-0.98,3.17,2.38,0.4557,0.2256,0.233,0.2702,1.08,1622160000.0,407636000000.0,0.76,0.1989
PETZ3,3.55,169.2,0.91,0.516,0.0026,0.418,2.63,9.59,-2.1,9.64,3.3,0.0538,0.003,0.054400000000000004,0.0054,1.88,71501100.0,1809970000.0,0.23,0.2642
PFRM3,5.4,8.67,0.53,0.075,0.07139999999999999,0.127,0.63,3.04,6.16,5.81,3.43,0.024700000000000003,0.0096,0.0755,0.061500000000000006,1.38,1384900.0,1254510000.0,0.72,0.15960000000000002
PGMN3,2.36,52.43,0.53,0.12,0.1167,0.157,1.16,3.14,-0.73,6.26,2.85,0.0381,0.0025,0.0644,0.0101,1.38,1666810.0,2601950000.0,0.61,0.1574
PINE3,5.41,5.33,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1975,0.0,6752.37,1079860000.0,0.0,0.5565
PINE4,4.18,4.12,0.81,0.0,0.08990000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1975,0.0,1117960.0,1079860000.0,0.0,0.5565
PITI4,1.28,-204.74,0.0,0.0,0.0,0.0,0.0,-2637.65,0.0,-2637.65,111.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2963
PLAS3,5.8,6.82,-0.16,0.074,0.0,0.102,-0.26,-8.66,-0.08,-43.05,7.59,-0.0086,0.0109,-0.013999999999999999,-0.024,0.47,7985.26,-439298000.0,-0.72,0.2711
PLDN4,486.0,-553.07,1.08,0.919,0.0,0.611,1.07,-75.56,3.1,-33.12,-33.12,-0.012199999999999999,-0.0017000000000000001,-0.0127,-0.002,10.81,0.0,289939000.0,0.01,0.1026
PLIM4,0.59,1.89,0.03,0.02,0.0,0.016,-0.51,0.17,-0.05,1.5,0.65,0.1193,0.0155,0.10949999999999999,0.0172,0.8,0.0,6812390000.0,0.28,0.6663
PLPL3,9.74,7.39,3.19,0.912,0.0518,0.98,1.74,3.3,5.07,3.45,3.35,0.2761,0.1298,0.40240000000000004,0.4321,2.84,9314160.0,623151000.0,0.59,0.284
PLTO5,10.94,53.09,723708.0,0.721,0.0,0.942,3.03,57.52,-1.62,58.82,58.82,0.0125,0.013600000000000001,0.0174,13632.0,3.87,0.0,1000.0,21227.0,0.08779999999999999
PLTO6,10.47,50.81,692616.0,0.69,0.0,0.901,2.9,55.05,-1.55,56.35,56.35,0.0125,0.013600000000000001,0.0174,13632.0,3.87,0.0,1000.0,21227.0,0.08779999999999999
PMAM3,2.51,-0.09,-0.03,0.234,0.0,0.081,-0.04,-0.33,-0.02,-9.35,-12.07,-0.7056999999999999,-2.5238,-0.3357,0.3421,0.09,172384.0,-4484050000.0,-0.87,-0.4047
PMAM4,5.84,-0.22,-0.07,0.544,0.0,0.188,-0.09,-0.77,-0.06,-9.79,-12.64,-0.7056999999999999,-2.5238,-0.3357,0.3421,0.09,0.0,-4484050000.0,-0.87,-0.4047
PMET3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040999999999999995,0.0,0.0,-290863000.0,0.0,0.3774
PMET5,0.65,-3.95,-0.16,4.518,0.0,30.248,-0.22,89.99,-0.16,503.88,503.88,0.050199999999999995,-1.1449,0.3897,0.040999999999999995,0.01,0.0,-290863000.0,-0.74,0.3774
PMET6,0.2,-1.21,-0.05,1.39,0.0,9.307,-0.07,27.69,-0.05,441.57,441.57,0.050199999999999995,-1.1449,0.3897,0.040999999999999995,0.01,0.0,-290863000.0,-0.74,0.3774
PNOR5,1.87,-2.9,0.55,0.354,0.0,0.205,0.7,8.52,-2.32,4.57,4.57,0.0415,-0.1174,0.0361,-0.1884,2.5,0.0,158071000.0,0.42,0.0134
PNVL3,10.12,14.06,1.27,0.327,0.0326,0.475,2.01,9.51,-25.75,14.82,6.55,0.034300000000000004,0.0232,0.071,0.0904,1.64,3729270.0,1196820000.0,0.93,0.1492
